familia,referencia,precio_venta,precio_costo,stock_actual,imagen_ruta,activo,visible
COMANDO IZQUIERDO,cb 110,16500,8649,234,/productos/comando-izquierdo-cb-110.jpg,true,true
COMANDO IZQUIERDO,eco deluxe,17500,8376,289,/productos/comando-izquierdo-eco-deluxe.jpg,true,true
COMANDO IZQUIERDO,tvs 100,27000,14097,174,/productos/comando-izquierdo-tvs-100.jpg,true,true
DIRECCIONALES,akt nkd 125,6000,2985,351,/productos/direccionales-akt-nkd-125.jpg,true,true
DIRECCIONALES,boxer ct,5000,2544,0,/productos/direccionales-boxer-ct.jpg,true,true
DIRECCIONALES,cb 110 / xr 150,6000,3196,1074,/productos/direccionales-cb-110-/-xr-150.jpg,true,true
DIRECCIONALES,cbf 150,6500,3196,410,/productos/direccionales-cbf-150.jpg,true,true
DIRECCIONALES,discover 125 st,6500,3460,8,/productos/direccionales-discover-125-st.jpg,true,true
DIRECCIONALES,splendor nxg,6000,3268,5586,/productos/direccionales-splendor-nxg.jpg,true,true
DIRECCIONALES,tvs 100,6500,3686,728,/productos/direccionales-tvs-100.jpg,true,true
DIRECCIONALES,xtz 125 /fz 16,6000,2784,990,/productos/direccionales-xtz-125-/fz-16.jpg,true,true
DISCO CLUTCH,akt 110,8000,3686,262,/productos/disco-clutch-akt-110.jpg,true,true
DISCO CLUTCH,best 125,8000,3825,259,/productos/disco-clutch-best-125.jpg,true,true
DISCO CLUTCH,boxer ct 100,8000,3686,280,/productos/disco-clutch-boxer-ct-100.jpg,true,true
DISCO CLUTCH,cb 110,8000,3614,265,/productos/disco-clutch-cb-110.jpg,true,true
DISCO CLUTCH,eco deluxe,8000,3686,1554,/productos/disco-clutch-eco-deluxe.jpg,true,true
DISCO CLUTCH,fz 16,9000,4449,247,/productos/disco-clutch-fz-16.jpg,true,true
DISCO CLUTCH,gn 125,9000,4171,262,/productos/disco-clutch-gn-125.jpg,true,true
DISCO CLUTCH,pulsar 135,8000,3825,243,/productos/disco-clutch-pulsar-135.jpg,true,true
DISCO FRENO DELANTERO,disco de freno akt ttr 125,45000,23006,76,/productos/disco-de-freno-akt-ttr-125.jpg,true,true
DISCO FRENO DELANTERO,disco de freno ank nkd 125 disco freno,44000,17443,161,/productos/disco-de-freno-ank-nkd-125-disco-freno.jpg,true,true
DISCO FRENO DELANTERO,disco de freno cbf 150 /invicta 150/ thriller/ignitor delantero,35000,20675,122,/productos/disco-de-freno-cbf-150-/invicta-150/-thriller/ignitor-delantero.jpg,true,true
DISCO FRENO DELANTERO,disco de freno discover 125st delantero,35000,20675,78,/productos/disco-de-freno-discover-125st-delantero.jpg,true,true
DISCO FRENO DELANTERO,disco de freno dr 150 disco freno,45000,17443,119,/productos/disco-de-freno-dr-150-disco-freno.jpg,true,true
DISCO FRENO DELANTERO,disco de freno pulsar 200ns,46000,24340,81,/productos/disco-de-freno-pulsar-200ns-disco-freno-delantero.jpg,true,true
DISCO FRENO TRASERO,disco de freno pulsar 200ns,36000,15993,72,/productos/disco-de-freno-pulsar-200ns-disco-freno-trasero.jpg,true,true
DISCO FRENO TRASERO,disco de freno trasero invicta 150 /xpulse200/thriller150/hunk 160 trasero,33000,17995,115,/productos/disco-de-freno-trasero-invicta-150-/xpulse200/thriller150/hunk-160-trasero.jpg,true,true
DISCO FRENO DELANTERO,disco de freno xtz 125 disco freno,34000,15355,71,/productos/disco-de-freno-xtz-125-disco-freno.jpg,true,true
EJE TRASERO,boxer ct,5000,1953,46,/productos/eje-trasero-boxer-ct.jpg,true,true
EJE TRASERO,cb 110,6000,2337,153,/productos/eje-trasero-cb-110.jpg,true,true
EJE TRASERO,discover 100,6500,2438,187,/productos/eje-trasero-discover-100.jpg,true,true
EJE TRASERO,dr 150,8000,2649,184,/productos/eje-trasero-dr-150.jpg,true,true
EJE TRASERO,eco deluxe,5000,2059,85,/productos/eje-trasero-eco-deluxe.jpg,true,true
EJE TRASERO,neo 100,6500,2649,102,/productos/eje-trasero-neo-100.jpg,true,true
EJE TRASERO,xr 150,8000,4180,183,/productos/eje-trasero-xr-150.jpg,true,true
EJE TRASERO,xtz 125,8500,3134,136,/productos/eje-trasero-xtz-125.jpg,true,true
ESPEJOS,akt evo / cb 110,8500,4406,825,/productos/espejos-akt-evo-/-cb-110.jpg,true,true
ESPEJOS,discover 125 st,12500,6604,376,/productos/espejos-discover-125-st.jpg,true,true
ESPEJOS,eco deluxe,8500,4406,753,/productos/espejos-eco-deluxe.jpg,true,true
ESPEJOS,vivar 115,11000,5424,297,/productos/espejos-vivar-115.jpg,true,true
ESPEJOS,xr 150,10500,4521,331,/productos/espejos-xr-150.jpg,true,true
ESPEJOS,xtz 125,10500,4867,317,/productos/espejos-xtz-125.jpg,true,true
FLASHER,12v,2600,1358,2466,/productos/flasher-12v.jpg,true,true
GUAYAS ACELERADOR,akt 125 nkd,5000,2125,0,/productos/guayas-acelerador-akt-125-nkd.jpg,true,true
GUAYAS ACELERADOR,boxer ct doble,7000,3741,0,/productos/guayas-acelerador-boxer-ct-doble.jpg,true,true
GUAYAS ACELERADOR,bws 125 guaya acelerador,15000,6691,254,/productos/guayas-acelerador-bws-125-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,cb 110,6500,3625,0,/productos/guayas-acelerador-cb-110.jpg,true,true
GUAYAS ACELERADOR,cb 125f guaya acelerador,7000,3211,303,/productos/guayas-acelerador-cb-125f-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,discover 125st,5000,2777,37,/productos/guayas-acelerador-discover-125st.jpg,true,true
GUAYAS ACELERADOR,dr 150 guaya acelerador,7000,2582,157,/productos/guayas-acelerador-dr-150-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,eco 100 / deluxe /nxg,5000,1939,327,/productos/guayas-acelerador-eco-100-/-deluxe-/nxg.jpg,true,true
GUAYAS ACELERADOR,fz 16 guaya acelerador,6000,2558,173,/productos/guayas-acelerador-fz-16-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,invicta guaya acelerador,7000,2174,246,/productos/guayas-acelerador-invicta-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,xr 150,6000,1776,283,/productos/guayas-acelerador-xr-150.jpg,true,true
GUAYAS ACELERADOR,xtz 125 doble,8500,4392,480,/productos/guayas-acelerador-xtz-125-doble.jpg,true,true
GUAYAS CLUCTH,akt 125 nkd,4500,2559,0,/productos/guayas-clucth-akt-125-nkd.jpg,true,true
GUAYAS CLUCTH,akt evo 125 guaya clutch,7000,2496,234,/productos/guayas-clucth-akt-evo-125-guaya-clutch.jpg,true,true
GUAYAS CLUCTH,akt ttr guaya clutch,7000,2275,222,/productos/guayas-clucth-akt-ttr-guaya-clutch.jpg,true,true
GUAYAS CLUCTH,boxer ct / platino 100,5000,2814,159,/productos/guayas-clucth-boxer-ct-/-platino-100.jpg,true,true
GUAYAS CLUCTH,cb 110,6000,2179,534,/productos/guayas-clucth-cb-110.jpg,true,true
GUAYAS CLUCTH,cb 125f,6000,2193,272,/productos/guayas-clucth-cb-125f.jpg,true,true
GUAYAS CLUCTH,cbf 150,5500,2862,33,/productos/guayas-clucth-cbf-150.jpg,true,true
GUAYAS CLUCTH,discover 125 st,6000,2856,539,/productos/guayas-clucth-discover-125-st.jpg,true,true
GUAYAS CLUCTH,eco deluxe,6000,2352,102,/productos/guayas-clucth-eco-deluxe.jpg,true,true
GUAYAS CLUCTH,xr 150,6000,2232,243,/productos/guayas-clucth-xr-150.jpg,true,true
GUAYAS CLUCTH,xtz 125 m/n,7000,3124,600,/productos/guayas-clucth-xtz-125-m/n.jpg,true,true
GUAYAS FRENO,boxer ct,5500,2809,150,/productos/guayas-freno-boxer-ct.jpg,true,true
GUAYAS FRENO,bws 125 guaya de freno trasero,9500,4512,251,/productos/guayas-freno-bws-125-guaya-de-freno-trasero.jpg,true,true
GUAYAS FRENO,cb 110,5500,2803,229,/productos/guayas-freno-cb-110.jpg,true,true
GUAYAS FRENO,honda eco deluxe,5500,3026,0,/productos/guayas-freno-honda-eco-deluxe.jpg,true,true
KIT ARRASTRE,akt 110s / wave 100,35000,19345,731,/productos/kit-arrastre-akt-110s-/-wave-100.jpg,true,true
KIT ARRASTRE,akt 125 nkd,36000,20882,497,/productos/kit-arrastre-akt-125-nkd.jpg,true,true
KIT ARRASTRE,akt ttr 125 / 150,62000,34593,361,/productos/kit-arrastre-akt-ttr-125-/-150.jpg,true,true
KIT ARRASTRE,akt ttr 200(520h),58000,0,295,/productos/kit-arrastre-akt-ttr-200(520h).jpg,true,true
KIT ARRASTRE,apache rtr 200(520h),65000,0,292,/productos/kit-arrastre-apache-rtr-200(520h).jpg,true,true
KIT ARRASTRE,boxer ct / platino,39000,21995,194,/productos/kit-arrastre-boxer-ct-/-platino.jpg,true,true
KIT ARRASTRE,cb 110 / neo,38000,22864,490,/productos/kit-arrastre-cb-110-/-neo.jpg,true,true
KIT ARRASTRE,cb 125f,43000,23779,207,/productos/kit-arrastre-cb-125f.jpg,true,true
KIT ARRASTRE,cb 160f,46000,0,476,/productos/kit-arrastre-cb-160f.jpg,true,true
KIT ARRASTRE,cbf 150 / thriller,45000,23971,247,/productos/kit-arrastre-cbf-150-/-thriller.jpg,true,true
KIT ARRASTRE,cripton t115 fi,39000,20913,578,/productos/kit-arrastre-cripton-t115-fi.jpg,true,true
KIT ARRASTRE,discover 125 st,43000,23420,155,/productos/kit-arrastre-discover-125-st.jpg,true,true
KIT ARRASTRE,eco deluxe,41000,22000,0,/productos/kit-arrastre-eco-deluxe.jpg,true,true
KIT ARRASTRE,gixxer 250(520h),65000,0,292,/productos/kit-arrastre-gixxer-250(520h).jpg,true,true
KIT ARRASTRE,mrx 150(concavo),45000,0,485,/productos/kit-arrastre-mrx-150(concavo).jpg,true,true
KIT ARRASTRE,pulsar 200ns(520h),57000,0,288,/productos/kit-arrastre-pulsar-200ns(520h).jpg,true,true
KIT ARRASTRE,suzuki dr 150,45000,24666,894,/productos/kit-arrastre-suzuki-dr-150.jpg,true,true
KIT ARRASTRE,tvs 100,40000,0,483,/productos/kit-arrastre-tvs-100.jpg,true,true
KIT ARRASTRE,tvs neo 110nx,42000,0,476,/productos/kit-arrastre-tvs-neo-110nx.jpg,true,true
KIT ARRASTRE,tvs raider 125,44000,0,460,/productos/kit-arrastre-tvs-raider-125.jpg,true,true
KIT ARRASTRE,viva r 115 / best,36000,19270,500,/productos/kit-arrastre-viva-r-115-/-best.jpg,true,true
KIT ARRASTRE,wave ii / wave 110,36000,20807,692,/productos/kit-arrastre-wave-ii-/-wave-110.jpg,true,true
KIT ARRASTRE,xr 150 / bross 125,45000,25805,720,/productos/kit-arrastre-xr-150-/-bross-125.jpg,true,true
KIT ARRASTRE,xtz 125 m/n,45000,24523,793,/productos/kit-arrastre-xtz-125-m/n.jpg,true,true
KIT ARRASTRE,xtz-150,45000,0,482,/productos/kit-arrastre-xtz-150.jpg,true,true
KIT ARRASTRE,ybr 125/libero 125,40000,0,289,/productos/kit-arrastre-ybr-125/libero-125.jpg,true,true
KIT CADENILLA,cb 110 / neo 110,14000,6345,1145,/productos/kit-cadenilla-cb-110-/-neo-110.jpg,true,true
KIT CADENILLA,cb 125f,15000,7785,1001,/productos/kit-cadenilla-cb-125f.jpg,true,true
KIT CADENILLA,eco 100 / eco deluxe / akt 110 / wave,14000,5587,560,/productos/kit-cadenilla-eco-100-/-eco-deluxe-/-akt-110-/-wave.jpg,true,true
KIT CILINDRO,akt ttr 150,75000,38947,64,/productos/kit-cilindro-akt-ttr-150.jpg,true,true
KIT CILINDRO,cb 110,75000,36859,311,/productos/kit-cilindro-cb-110.jpg,true,true
KIT CILINDRO,cb 125f,88000,39696,164,/productos/kit-cilindro-cb-125f.jpg,true,true
KIT CILINDRO,cbf 150,88000,42772,79,/productos/kit-cilindro-cbf-150.jpg,true,true
KIT CILINDRO,eco deluxe,58000,29208,183,/productos/kit-cilindro-eco-deluxe.jpg,true,true
KIT CILINDRO,xr 150,88000,42422,95,/productos/kit-cilindro-xr-150.jpg,true,true
KIT CILINDRO,xtz 125,88000,41380,84,/productos/kit-cilindro-xtz-125.jpg,true,true
KIT CUNAS DIRECCION,akt 125 nkd/cb 125f /eco 100,8000,4128,69,/productos/kit-cunas-direccion-akt-125-nkd/cb-125f-/eco-100.jpg,true,true
KIT CUNAS DIRECCION,boxer ct / paltino 100 / pulsar 135-180,8000,4685,127,/productos/kit-cunas-direccion-boxer-ct-/-paltino-100-/-pulsar-135-180.jpg,true,true
KIT CUNAS DIRECCION,discover 125 st-150,9500,4685,137,/productos/kit-cunas-direccion-discover-125-st-150.jpg,true,true
KIT CUNAS DIRECCION,dr 150,11500,6116,410,/productos/kit-cunas-direccion-dr-150.jpg,true,true
KIT CUNAS DIRECCION,eco deluxe cuna direccion,8500,4032,1368,/productos/kit-cunas-direccion-eco-deluxe-cuna-direccion.jpg,true,true
KIT CUNAS DIRECCION,xr 150,11000,4685,94,/productos/kit-cunas-direccion-xr-150.jpg,true,true
KIT CUNAS DIRECCION,xtz 125 m/n,10500,5277,69,/productos/kit-cunas-direccion-xtz-125-m/n.jpg,true,true
MALLA SILLIN,xl,9000,4171,1838,/productos/malla-sillin-xl.jpg,true,true
MALLA SILLIN,xxl,11000,4315,491,/productos/malla-sillin-xxl.jpg,true,true
MALLA SILLIN,xxxl,13000,4454,482,/productos/malla-sillin-xxxl.jpg,true,true
MANGO COPA,azul,16000,0,134,/productos/mango-copa-azul.jpg,true,true
MANGO COPA,cromado,16000,0,160,/productos/mango-copa-cromado.jpg,true,true
MANGO COPA,morado,16000,0,129,/productos/mango-copa-morado.jpg,true,true
MANGO COPA,negro,16000,0,143,/productos/mango-copa-negro.jpg,true,true
MANGO COPA,rojo,16000,0,116,/productos/mango-copa-rojo.jpg,true,true
MANGO MOXI TOPE,azul,13000,0,139,/productos/mango-moxi-tope-azul.jpg,true,true
MANGO MOXI TOPE,cromado,13000,0,126,/productos/mango-moxi-tope-cromado.jpg,true,true
MANGO MOXI TOPE,morado,13000,0,130,/productos/mango-moxi-tope-morado.jpg,true,true
MANGO MOXI TOPE,negro,13000,0,140,/productos/mango-moxi-tope-negro.jpg,true,true
MANGO MOXI TOPE,rojo,13000,0,118,/productos/mango-moxi-tope-rojo.jpg,true,true
MANIGUETA CLUTCH,maniguetas clutch discover st,4500,1828,318,/productos/maniguetas-clutch-discover-st.jpg,true,true
MANIGUETA CLUTCH,maniguetas clutch dr 150,4500,2035,82,/productos/maniguetas-clutch-dr-150.jpg,true,true
MANIGUETA CLUTCH,maniguetas clutch eco deluxe,3800,1161,10,/productos/maniguetas-clutch-eco-deluxe.jpg,true,true
MANIGUETA CLUTCH,maniguetas clutch xtz 125,4500,2241,3,/productos/maniguetas-clutch-xtz-125.jpg,true,true
MANIGUETA FRENO,maniguetas freno dr 150,4500,2035,335,/productos/maniguetas-freno-dr-150.jpg,true,true
MANIGUETA FRENO,maniguetas freno xtz 125,4500,1900,500,/productos/maniguetas-freno-xtz-125.jpg,true,true
MORDAZA FRENO DISCO,akt 110s,38000,16689,158,/productos/mordaza-freno-disco-akt-110s.jpg,true,true
MORDAZA FRENO DISCO,akt nkd 125,38000,16689,426,/productos/mordaza-freno-disco-akt-nkd-125.jpg,true,true
MORDAZA FRENO DISCO,discover 125 st,48000,19473,408,/productos/mordaza-freno-disco-discover-125-st.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno akt 110 delantero,5000,2433,1979,/productos/pastilla-de-freno-akt-110-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno akt 125 flex delantero,5000,2572,316,/productos/pastilla-de-freno-akt-125-flex-delantero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno apache 180 trasero,6000,2572,187,/productos/pastilla-de-freno-apache-180-trasero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno best 125 delantero,5000,2433,301,/productos/pastilla-de-freno-best-125-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno cb 125f delantero,5000,2572,394,/productos/pastilla-de-freno-cb-125f-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno cbf 150 delantero,5000,2505,210,/productos/pastilla-de-freno-cbf-150-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno crypton t115 fi delantero,5000,2572,404,/productos/pastilla-de-freno-crypton-t115-fi-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno dr 150 delantero,6000,2184,318,/productos/pastilla-de-freno-dr-150-delantero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno invicta trasero,6000,2572,384,/productos/pastilla-de-freno-invicta-trasero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno pulsar 135 delantero,5000,2433,2337,/productos/pastilla-de-freno-pulsar-135-delantero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno pulsar 200ns trasero,6000,2572,297,/productos/pastilla-de-freno-pulsar-200ns-trasero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno triller 150 trasero,6000,2572,395,/productos/pastilla-de-freno-triller-150-trasero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno vivar 115 delantero,5000,2505,256,/productos/pastilla-de-freno-vivar-115-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno xr 150 delantero,5000,2505,239,/productos/pastilla-de-freno-xr-150-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno xtz 125 delantero,5000,2433,276,/productos/pastilla-de-freno-xtz-125-delantero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno xtz 150 delantero,5000,2433,146,/productos/pastilla-de-freno-xtz-150-delantero.jpg,true,true
PASTILLA FRENO TRASERO,pastilla de freno xtz 250 trasero,7000,2784,82,/productos/pastilla-de-freno-xtz-250-trasero.jpg,true,true
PASTILLA FRENO DELANTERO,pastilla de freno ybr 125 delantero,5000,2433,300,/productos/pastilla-de-freno-ybr-125-delantero.jpg,true,true
PITOS,estándar,6000,3105,132,/productos/pitos.jpg,true,true
PLATO BOBINA,akt nkd 125,30000,15926,169,/productos/plato-bobina-akt-nkd-125.jpg,true,true
PRENSA CLUTCH,akt 125 nkd / ttr 125-150,32000,17951,41,/productos/prensa-clutch-akt-125-nkd-/-ttr-125-150.jpg,true,true
PRENSA CLUTCH,cb 110 / neo 110,33000,17155,368,/productos/prensa-clutch-cb-110-/-neo-110.jpg,true,true
PRENSA CLUTCH,cb125,36000,17510,260,/productos/prensa-clutch-cb125.jpg,true,true
PRENSA CLUTCH,cbf 150 / invicta 150 /xr 150,36000,17736,27,/productos/prensa-clutch-cbf-150-/-invicta-150-/xr-150.jpg,true,true
PRENSA CLUTCH,discover 125 st,35000,18000,62,/productos/prensa-clutch-discover-125-st.jpg,true,true
PRENSA CLUTCH,dr 150,39000,17385,166,/productos/prensa-clutch-dr-150.jpg,true,true
PRENSA CLUTCH,eco deluxe,31000,17558,2,/productos/prensa-clutch-eco-deluxe.jpg,true,true
PRENSA CLUTCH,tvs 100,36000,15302,170,/productos/prensa-clutch-tvs-100.jpg,true,true
PRENSA CLUTCH,xtz 125,34000,16444,287,/productos/prensa-clutch-xtz-125.jpg,true,true
REGULADOR,akt 110,12000,5736,361,/productos/regulador-akt-110.jpg,true,true
REGULADOR,akt nkd 125,12000,5736,353,/productos/regulador-akt-nkd-125.jpg,true,true
RELAY,eco deluxe,8500,4016,1491,/productos/relay-eco-deluxe.jpg,true,true
RELAY,universal,9500,5121,990,/productos/relay-universal.jpg,true,true
RELAY,xtz 125 / ybr 125 / libero 125,14500,7824,1265,/productos/relay-xtz-125-/-ybr-125-/-libero-125.jpg,true,true
SWITCH ENCENDIDO,akt 125 nkd,10500,5400,0,/productos/switch-encendido-akt-125-nkd.jpg,true,true
SWITCH ENCENDIDO,ax 4,27000,13910,275,/productos/switch-encendido-ax-4.jpg,true,true
SWITCH ENCENDIDO,boxer ct / platino 100,18500,9873,171,/productos/switch-encendido-boxer-ct-/-platino-100.jpg,true,true
SWITCH ENCENDIDO,cb 110 / neo 110,17000,9043,631,/productos/switch-encendido-cb-110-/-neo-110.jpg,true,true
SWITCH ENCENDIDO,cb 125f,22500,10430,195,/productos/switch-encendido-cb-125f.jpg,true,true
SWITCH ENCENDIDO,crypton t-115 fi,34000,13910,237,/productos/switch-encendido-crypton-t-115-fi.jpg,true,true
SWITCH ENCENDIDO,discover 125st-150,19000,9873,180,/productos/switch-encendido-discover-125st-150.jpg,true,true
SWITCH ENCENDIDO,dr 150,26000,12864,267,/productos/switch-encendido-dr-150.jpg,true,true
SWITCH ENCENDIDO,eco deluxe,20000,10780,681,/productos/switch-encendido-eco-deluxe.jpg,true,true
SWITCH ENCENDIDO,tvs 100,27000,13910,273,/productos/switch-encendido-tvs-100.jpg,true,true
SWITCH ENCENDIDO,vivar 115,35000,18081,81,/productos/switch-encendido-vivar-115.jpg,true,true
SWITCH ENCENDIDO,xtz 125 e,18500,9873,79,/productos/switch-encendido-xtz-125-e.jpg,true,true
SWITCH RUN,2 cables,3000,1483,1654,/productos/switch-run-2-cables.jpg,true,true
SWITCH RUN,3 cables,3000,1483,711,/productos/switch-run-3-cables.jpg,true,true
TAPA GASOLINA,akt nkd 125,23000,12744,254,/productos/tapa-gasolina-akt-nkd-125.jpg,true,true
TAPA GASOLINA,eco deluxe,25000,14136,165,/productos/tapa-gasolina-eco-deluxe.jpg,true,true
TROMPO STOP,paquete x10,18000,840,951,/productos/trompo-stop-paquete-x10.jpg,true,true
