familia_nombre,modelo,precio_venta,precio_costo,stock_actual,stock_minimo,imagen_especifica,visible_en_catalogo,activo
DISCO CLUTCH,boxer ct 100,8000,3686,280,2,/productos/disco-clutch-boxer-ct-100.jpg,true,true
DISCO CLUTCH,cb 110,8000,3614,265,2,/productos/disco-clutch-cb-110.jpg,true,true
DISCO CLUTCH,eco deluxe,8000,3686,1554,2,/productos/disco-clutch-eco-deluxe.jpg,true,true
DISCO CLUTCH,fz 16,9000,4449,247,2,/productos/disco-clutch-fz-16.jpg,true,true
DISCO CLUTCH,gn 125,9000,4171,262,2,/productos/disco-clutch-gn-125.jpg,true,true
DISCO CLUTCH,pulsar 135,8000,3825,243,2,/productos/disco-clutch-pulsar-135.jpg,true,true
DISCO FRENO DELANTERO,disco de freno akt ttr 125,45000,23006,76,2,/productos/disco-de-freno-akt-ttr-125.jpg,true,true
DISCO FRENO DELANTERO,disco de freno ank nkd 125 disco freno,44000,17443,161,2,/productos/disco-de-freno-ank-nkd-125-disco-freno.jpg,true,true
DISCO FRENO DELANTERO,disco de freno cbf 150 /invicta 150/ thriller/ignitor delantero,35000,20675,122,2,/productos/disco-de-freno-cbf-150-/invicta-150/-thriller/ignitor-delantero.jpg,true,true
DISCO FRENO DELANTERO,disco de freno discover 125st delantero,35000,20675,78,2,/productos/disco-de-freno-discover-125st-delantero.jpg,true,true
DISCO FRENO DELANTERO,disco de freno dr 150 disco freno,45000,17443,119,2,/productos/disco-de-freno-dr-150-disco-freno.jpg,true,true
DISCO FRENO DELANTERO,disco de freno pulsar 200ns,46000,24340,81,2,/productos/disco-de-freno-pulsar-200ns-disco-freno-delantero.jpg,true,true
DISCO FRENO TRASERO,disco de freno pulsar 200ns,36000,15993,72,2,/productos/disco-de-freno-pulsar-200ns-disco-freno-trasero.jpg,true,true
DISCO FRENO TRASERO,disco de freno trasero invicta 150 /xpulse200/thriller150/hunk 160 trasero,33000,17995,115,2,/productos/disco-de-freno-trasero-invicta-150-/xpulse200/thriller150/hunk-160-trasero.jpg,true,true
DISCO FRENO DELANTERO,disco de freno xtz 125 disco freno,34000,15355,71,2,/productos/disco-de-freno-xtz-125-disco-freno.jpg,true,true
EJE TRASERO,boxer ct,5000,1953,46,2,/productos/eje-trasero-boxer-ct.jpg,true,true
EJE TRASERO,cb 110,6000,2337,153,2,/productos/eje-trasero-cb-110.jpg,true,true
EJE TRASERO,discover 100,6500,2438,187,2,/productos/eje-trasero-discover-100.jpg,true,true
EJE TRASERO,dr 150,8000,2649,184,2,/productos/eje-trasero-dr-150.jpg,true,true
EJE TRASERO,eco deluxe,5000,2059,85,2,/productos/eje-trasero-eco-deluxe.jpg,true,true
EJE TRASERO,neo 100,6500,2649,102,2,/productos/eje-trasero-neo-100.jpg,true,true
EJE TRASERO,xr 150,8000,4180,183,2,/productos/eje-trasero-xr-150.jpg,true,true
EJE TRASERO,xtz 125,8500,3134,136,2,/productos/eje-trasero-xtz-125.jpg,true,true
ESPEJOS,akt evo / cb 110,8500,4406,825,2,/productos/espejos-akt-evo-/-cb-110.jpg,true,true
ESPEJOS,discover 125 st,12500,6604,376,2,/productos/espejos-discover-125-st.jpg,true,true
ESPEJOS,eco deluxe,8500,4406,753,2,/productos/espejos-eco-deluxe.jpg,true,true
ESPEJOS,vivar 115,11000,5424,297,2,/productos/espejos-vivar-115.jpg,true,true
ESPEJOS,xr 150,10500,4521,331,2,/productos/espejos-xr-150.jpg,true,true
ESPEJOS,xtz 125,10500,4867,317,2,/productos/espejos-xtz-125.jpg,true,true
FLASHER,12v,2600,1358,2466,2,/productos/flasher-12v.jpg,true,true
GUAYAS ACELERADOR,akt 125 nkd,5000,2125,0,2,/productos/guayas-acelerador-akt-125-nkd.jpg,true,true
GUAYAS ACELERADOR,boxer ct doble,7000,3741,0,2,/productos/guayas-acelerador-boxer-ct-doble.jpg,true,true
GUAYAS ACELERADOR,bws 125 guaya acelerador,15000,6691,254,2,/productos/guayas-acelerador-bws-125-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,cb 110,6500,3625,0,2,/productos/guayas-acelerador-cb-110.jpg,true,true
GUAYAS ACELERADOR,cb 125f guaya acelerador,7000,3211,303,2,/productos/guayas-acelerador-cb-125f-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,discover 125st,5000,2777,37,2,/productos/guayas-acelerador-discover-125st.jpg,true,true
GUAYAS ACELERADOR,dr 150 guaya acelerador,7000,2582,157,2,/productos/guayas-acelerador-dr-150-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,eco 100 / deluxe /nxg,5000,1939,327,2,/productos/guayas-acelerador-eco-100-/-deluxe-/nxg.jpg,true,true
GUAYAS ACELERADOR,fz 16 guaya acelerador,6000,2558,173,2,/productos/guayas-acelerador-fz-16-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,invicta guaya acelerador,7000,2174,246,2,/productos/guayas-acelerador-invicta-guaya-acelerador.jpg,true,true
GUAYAS ACELERADOR,xr 150,6000,1776,283,2,/productos/guayas-acelerador-xr-150.jpg,true,true
GUAYAS ACELERADOR,xtz 125 doble,8500,4392,480,2,/productos/guayas-acelerador-xtz-125-doble.jpg,true,true
GUAYAS CLUCTH,akt 125 nkd,4500,2559,0,2,/productos/guayas-clucth-akt-125-nkd.jpg,true,true
GUAYAS CLUCTH,akt evo 125 guaya clutch,7000,2496,234,2,/productos/guayas-clucth-akt-evo-125-guaya-clutch.jpg,true,true
GUAYAS CLUCTH,akt ttr guaya clutch,7000,2275,222,2,/productos/guayas-clucth-akt-ttr-guaya-clutch.jpg,true,true
GUAYAS CLUCTH,boxer ct / platino 100,5000,2814,159,2,/productos/guayas-clucth-boxer-ct-/-platino-100.jpg,true,true
GUAYAS CLUCTH,cb 110,6000,2179,534,2,/productos/guayas-clucth-cb-110.jpg,true,true
GUAYAS CLUCTH,cb 125f,6000,2193,272,2,/productos/guayas-clucth-cb-125f.jpg,true,true
GUAYAS CLUCTH,cbf 150,5500,2862,33,2,/productos/guayas-clucth-cbf-150.jpg,true,true
GUAYAS CLUCTH,discover 125 st,6000,2856,539,2,/productos/guayas-clucth-discover-125-st.jpg,true,true
GUAYAS CLUCTH,eco deluxe,6000,2352,102,2,/productos/guayas-clucth-eco-deluxe.jpg,true,true
GUAYAS CLUCTH,xr 150,6000,2232,243,2,/productos/guayas-clucth-xr-150.jpg,true,true
GUAYAS CLUCTH,xtz 125 m/n,7000,3124,600,2,/productos/guayas-clucth-xtz-125-m/n.jpg,true,true
GUAYAS FRENO,boxer ct,5500,2809,150,2,/productos/guayas-freno-boxer-ct.jpg,true,true
GUAYAS FRENO,bws 125 guaya de freno trasero,9500,4512,251,2,/productos/guayas-freno-bws-125-guaya-de-freno-trasero.jpg,true,true
GUAYAS FRENO,cb 110,5500,2803,229,2,/productos/guayas-freno-cb-110.jpg,true,true
GUAYAS FRENO,honda eco deluxe,5500,3026,0,2,/productos/guayas-freno-honda-eco-deluxe.jpg,true,true
KIT ARRASTRE,akt 110s / wave 100,35000,19345,731,2,/productos/kit-arrastre-akt-110s-/-wave-100.jpg,true,true
KIT ARRASTRE,akt 125 nkd,36000,20882,497,2,/productos/kit-arrastre-akt-125-nkd.jpg,true,true
KIT ARRASTRE,akt ttr 125 / 150,62000,34593,361,2,/productos/kit-arrastre-akt-ttr-125-/-150.jpg,true,true
KIT ARRASTRE,akt ttr 200(520h),58000,0,295,2,/productos/kit-arrastre-akt-ttr-200(520h).jpg,true,true
KIT ARRASTRE,apache rtr 200(520h),65000,0,292,2,/productos/kit-arrastre-apache-rtr-200(520h).jpg,true,true
KIT ARRASTRE,boxer ct / platino,39000,21995,194,2,/productos/kit-arrastre-boxer-ct-/-platino.jpg,true,true
KIT ARRASTRE,cb 110 / neo,38000,22864,490,2,/productos/kit-arrastre-cb-110-/-neo.jpg,true,true
KIT ARRASTRE,cb 125f,43000,23779,207,2,/productos/kit-arrastre-cb-125f.jpg,true,true
KIT ARRASTRE,cb 160f,46000,0,476,2,/productos/kit-arrastre-cb-160f.jpg,true,true
KIT ARRASTRE,cbf 150 / thriller,45000,23971,247,2,/productos/kit-arrastre-cbf-150-/-thriller.jpg,true,true
KIT ARRASTRE,cripton t115 fi,39000,20913,578,2,/productos/kit-arrastre-cripton-t115-fi.jpg,true,true
KIT ARRASTRE,discover 125 st,43000,23420,155,2,/productos/kit-arrastre-discover-125-st.jpg,true,true
KIT ARRASTRE,eco deluxe,41000,22000,0,2,/productos/kit-arrastre-eco-deluxe.jpg,true,true
KIT ARRASTRE,gixxer 250(520h),65000,0,292,2,/productos/kit-arrastre-gixxer-250(520h).jpg,true,true
KIT ARRASTRE,mrx 150(concavo),45000,0,485,2,/productos/kit-arrastre-mrx-150(concavo).jpg,true,true
KIT ARRASTRE,pulsar 200ns(520h),57000,0,288,2,/productos/kit-arrastre-pulsar-200ns(520h).jpg,true,true
KIT ARRASTRE,suzuki dr 150,45000,24666,894,2,/productos/kit-arrastre-suzuki-dr-150.jpg,true,true
KIT ARRASTRE,tvs 100,40000,0,483,2,/productos/kit-arrastre-tvs-100.jpg,true,true
KIT ARRASTRE,tvs neo 110nx,42000,0,476,2,/productos/kit-arrastre-tvs-neo-110nx.jpg,true,true
KIT ARRASTRE,tvs raider 125,44000,0,460,2,/productos/kit-arrastre-tvs-raider-125.jpg,true,true
KIT ARRASTRE,viva r 115 / best,36000,19270,500,2,/productos/kit-arrastre-viva-r-115-/-best.jpg,true,true
