familia_id,modelo,precio_venta,precio_costo,stock_actual,stock_minimo,imagen_especifica,visible_en_catalogo,activo
235c15bb-9b5d-4d9b-8dab-77fae37af480,fz 16,9000,4449,247,2,,true,true
235c15bb-9b5d-4d9b-8dab-77fae37af480,gn 125,9000,4171,262,2,,true,true
235c15bb-9b5d-4d9b-8dab-77fae37af480,pulsar 135,8000,3825,243,2,,true,true
9594d8d6-e401-4eb2-a130-1c80ed3c494b,disco de freno akt ttr 125,45000,23006,76,2,,true,true
9594d8d6-e401-4eb2-a130-1c80ed3c494b,disco de freno ank nkd 125 disco freno,44000,17443,161,2,,true,true
9594d8d6-e401-4eb2-a130-1c80ed3c494b,disco de freno cbf 150 /invicta 150/ thriller/ignitor delantero,35000,20675,122,2,,true,true
9594d8d6-e401-4eb2-a130-1c80ed3c494b,disco de freno discover 125st delantero,35000,20675,78,2,,true,true
9594d8d6-e401-4eb2-a130-1c80ed3c494b,disco de freno dr 150 disco freno,45000,17443,119,2,,true,true
9594d8d6-e401-4eb2-a130-1c80ed3c494b,disco de freno pulsar 200ns,46000,24340,81,2,,true,true
e265967d-87bd-4217-9cf2-92e63985b68b,disco de freno pulsar 200ns,36000,15993,72,2,,true,true
e265967d-87bd-4217-9cf2-92e63985b68b,disco de freno trasero invicta 150 /xpulse200/thriller150/hunk 160 trasero,33000,17995,115,2,,true,true
9594d8d6-e401-4eb2-a130-1c80ed3c494b,disco de freno xtz 125 disco freno,34000,15355,71,2,,true,true
fe01401e-76f3-4b56-85cb-e074767da1b9,boxer ct,5000,1953,46,2,/productos/boxer.jpg,true,true
fe01401e-76f3-4b56-85cb-e074767da1b9,cb 110,6000,2337,153,2,/productos/eje-trasero-cb-110.jpg,true,true
fe01401e-76f3-4b56-85cb-e074767da1b9,discover 100,6500,2438,187,2,/productos/eje-trasero-discover-100.jpg,true,true
fe01401e-76f3-4b56-85cb-e074767da1b9,dr 150,8000,2649,184,2,,true,true
fe01401e-76f3-4b56-85cb-e074767da1b9,eco deluxe,5000,2059,85,2,/productos/eje-trasero-eco-delux.jpg,true,true
fe01401e-76f3-4b56-85cb-e074767da1b9,neo 100,6500,2649,102,2,,true,true
fe01401e-76f3-4b56-85cb-e074767da1b9,xr 150,8000,4180,183,2,/productos/eje-trasero-xr-150l.jpg,true,true
fe01401e-76f3-4b56-85cb-e074767da1b9,xtz 125,8500,3134,136,2,,true,true
353a9430-25a1-4dbb-a559-e5336b51c624,akt evo / cb 110,8500,4406,825,2,,true,true
353a9430-25a1-4dbb-a559-e5336b51c624,discover 125 st,12500,6604,376,2,,true,true
353a9430-25a1-4dbb-a559-e5336b51c624,eco deluxe,8500,4406,753,2,,true,true
353a9430-25a1-4dbb-a559-e5336b51c624,vivar 115,11000,5424,297,2,,true,true
353a9430-25a1-4dbb-a559-e5336b51c624,xr 150,10500,4521,331,2,,true,true
353a9430-25a1-4dbb-a559-e5336b51c624,xtz 125,10500,4867,317,2,,true,true
74afa5dc-5f39-454a-9e3b-16c76b1416c7,12v,2600,1358,2466,2,/productos/flasher.png,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,akt 125 nkd,5000,2125,0,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,boxer ct doble,7000,3741,0,2,/productos/boxer.jpg,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,bws 125 guaya acelerador,15000,6691,254,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,cb 110,6500,3625,0,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,cb 125f guaya acelerador,7000,3211,303,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,discover 125st,5000,2777,37,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,dr 150 guaya acelerador,7000,2582,157,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,eco 100 / deluxe /nxg,5000,1939,327,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,fz 16 guaya acelerador,6000,2558,173,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,invicta guaya acelerador,7000,2174,246,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,xr 150,6000,1776,283,2,,true,true
ab307c98-d206-4617-8f8d-3ff03dc37b46,xtz 125 doble,8500,4392,480,2,,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,akt 125 nkd,4500,2559,0,2,,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,akt evo 125 guaya clutch,7000,2496,234,2,,true,true
cd923ffb-bd04-4160-bd16-aaa64e05c061,akt ttr guaya clutch,7000,2275,222,2,,true,true
