;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Reporte de productos;;;;;;;;;;;"¿Tienes dudas de como usar Tiendana?
Ve nuestro canal en Youtube";;;"
Descarga nuestra App en:


";;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;"¿Necesitas ayuda?
Escríbenos a nuesto  Whatsapp Aquí >>>>";;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;¿Necesitas equipos POS?;;;;;;;;;;;;;;;;;;;;;;
;;Id;Nombre;Precio;Cantidad;Vender sin stock;Imagen;Código (SKU);Código de barras;Categoría;Marca;Costo del producto;IVA;INC;¿Aplica descuento?;Precio en descuento;¿Vender a granel?;Unidad de medida;Habilitar venta en línea;Descripción corta;Descripción general;Activo;Subcategoría;Costo total inventario;Total inventario por vender
;;2438458;BOMBA DE FRENO AKT 110 DELANTERO;$18.500,00;963,00;No;-;-;-;BOMBA DE FRENO;-;$9.734,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$9.373.842,00;$17.815.500,00
;;2438460;BOMBA DE FRENO PULSAR 135 DELANTERO;$19.500,00;409,00;No;-;-;-;BOMBA DE FRENO;-;$9.734,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$3.981.206,00;$7.975.500,00
;;2438468;BOMBA DE FRENO PULSAR 200NS TRASERO;$23.000,00;232,00;No;-;-;-;BOMBA DE FRENO;-;$9.734,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$2.258.288,00;$5.336.000,00
;;2438455;BOMBA DE FRENO UNIVERSAL DELANTERO;$18.500,00;1.291,00;No;-;-;-;BOMBA DE FRENO;-;$9.734,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$12.566.594,00;$23.883.500,00
;;2438463;BOMBA DE FRENO UNIVERSAL TRASERO;$19.500,00;212,00;No;-;-;-;BOMBA DE FRENO;-;$10.084,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$2.137.808,00;$4.134.000,00
;;1767870;BOMBILLO MOTOLED MOTOLED TRISETA 4 CARAS;$10.000,00;0,00;No;-;-;-;BOMBILLO MOTOLED;-;$0,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$0,00;$0,00
;;1767868;BOMBILLO MOTOLED MOTOLED VENTILADOR 4 CARAS 8000 LUMINES;$39.000,00;733,00;No;-;-;-;BOMBILLO MOTOLED;-;$0,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$0,00;$28.587.000,00
;;2438117;CALAPIES DELANTEROS CBF 150;$14.000,00;183,00;No;-;-;-;CALAPIES DELANTEROS;-;$5.582,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$1.021.506,00;$2.562.000,00
;;2438122;CALAPIES DELANTEROS ECO DELUXE;$12.000,00;203,00;No;-;-;-;CALAPIES DELANTEROS;-;$5.164,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$1.048.292,00;$2.436.000,00
;;1767799;CAPUCHON ECO DELUXE;$1.800,00;190,00;No;-;-;-;CAPUCHON;AUTECO;$898,00;0,00;0,00;No;$0,00;No;-;Si;-;-;Si;-;$170.620,00;$342.000,00
